;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 7/3/2014 10:14:25 a.m.
;----------------------------------------------

;Address Opcode 	ASM
0x05E4	0x642D    	XRL A, #45
0x05E6	0x60C1    	JZ L_main31
0x05E8	0xE508    	MOV A, _operacion
0x05EA	0x6478    	XRL A, #120
0x05EC	0x60CA    	JZ L_main32
0x05EE	0xE508    	MOV A, _operacion
0x05F0	0x64FD    	XRL A, #253
0x05F2	0x60D6    	JZ L_main33
L_main29:
;calculadora.c,71 :: 		Lcd_Cmd(_LCD_CLEAR);
0x05F4	0x752001  	MOV FARG_Lcd_Cmd_out_char, #1
0x05F7	0x1195    	ACALL _Lcd_Cmd
;calculadora.c,72 :: 		num=res;
0x05F9	0x853032  	MOV _num, _res+0
0x05FC	0x853133  	MOV _num+1, _res+1
;calculadora.c,73 :: 		}
L_main27:
;calculadora.c,75 :: 		if(kp<10){
0x05FF	0xC3      	CLR C
0x0600	0xE509    	MOV A, _kp
0x0602	0x940A    	SUBB A, #10
0x0604	0x5013    	JNC L_main34
;calculadora.c,77 :: 		num=num*10+kp;
0x0606	0xA832    	MOV R0, _num
0x0608	0xA933    	MOV R1, _num+1
0x060A	0x7C0A    	MOV R4, #10
0x060C	0x7D00    	MOV R5, #0
0x060E	0x9143    	ACALL _Mul_16x16
0x0610	0xE509    	MOV A, _kp
0x0612	0x28      	ADD A, R0
0x0613	0xF532    	MOV _num, A
0x0615	0xE4      	CLR A
0x0616	0x39      	ADDC A, R1
0x0617	0xF533    	MOV _num+1, A
;calculadora.c,78 :: 		}
L_main34:
;calculadora.c,80 :: 		IntToStr(num, txt);        // Transform counter value to string
0x0619	0x853212  	MOV FARG_IntToStr_input, _num+0
0x061C	0x853313  	MOV FARG_IntToStr_input+1, _num+1
0x061F	0x75140B  	MOV FARG_IntToStr_output, lo_addr(_txt)
0x0622	0x715D    	ACALL _IntToStr
;calculadora.c,81 :: 		Lcd_Out(2, 10, txt);       // Display counter value on Lcd
0x0624	0x751202  	MOV FARG_LCD_Out_row, #2
0x0627	0x75130A  	MOV FARG_LCD_Out_column, #10
0x062A	0x75140B  	MOV FARG_LCD_Out_text, lo_addr(_txt)
0x062D	0x513E    	ACALL _LCD_Out
;calculadora.c,82 :: 		} while (1);
0x062F	0x8174    	AJMP L_main0
;calculadora.c,83 :: 		}
0x0631	0x80FE    	SJMP #254
; end of _main
0x0647	0x7830    	MOV R0, 48
0x0649	0x7914    	MOV R1, 20
0x064B	0x758233  	MOV DP0L, 51
0x064E	0x758306  	MOV DP0H, 6
0x0651	0x1202A8  	LCALL 680
0x0654	0x22      	RET
;calculadora.c,0 :: ?ICS_res
0x0633	0x0000 ;?ICS_res+0
; end of ?ICS_res
;calculadora.c,0 :: ?ICS_num
0x0635	0x0000 ;?ICS_num+0
; end of ?ICS_num
;calculadora.c,0 :: ?ICS?lstr1_calculadora
0x0637	0x43616C ;?ICS?lstr1_calculadora+0
0x063A	0x63756C ;?ICS?lstr1_calculadora+3
0x063D	0x61646F ;?ICS?lstr1_calculadora+6
0x0640	0x722038 ;?ICS?lstr1_calculadora+9
0x0643	0x303531 ;?ICS?lstr1_calculadora+12
0x0646	0x00 ;?ICS?lstr1_calculadora+15
; end of ?ICS?lstr1_calculadora
Symbol List:
//** Routines locations **
//ADDRESS    SIZE    PROCEDURE
//----------------------------------------------
0x002E       [5]    _Delay_50us
0x0033      [10]    _Delay_5500us
0x003D       [3]    _Delay_1us
0x0040      [85]    _Div_16x16_U
0x0095     [219]    _Lcd_Cmd
0x0170      [12]    _Lcd_Chr_CP
0x017C      [87]    _WordToStr
0x01D3       [5]    _Delay_10us
0x01D8     [102]    _Keypad_Key_Press
0x023E     [102]    _LCD_Out
0x02A4       [4]    _Keypad_Init
0x02A8       [8]    ___CC2D
0x02B0     [152]    _Lcd_Init
0x0348      [21]    _Keypad_Key_Click
0x035D     [176]    _IntToStr
0x040D      [54]    _Div_16x16_S
0x0443      [18]    _Mul_16x16
0x0455     [478]    _main
//** Variables locations ** 
//ADDRESS    SIZE    VARIABLE
//----------------------------------------------
0x0000       [1]    R0
0x0001       [1]    R1
0x0002       [1]    R2
0x0003       [1]    R3
0x0004       [1]    R4
0x0005       [1]    R5
0x0006       [1]    R6
0x0007       [1]    R7
0x0008       [1]    _operacion
0x0009       [1]    _kp
0x000A       [1]    _cmd_status
0x000B       [7]    _txt
0x0012       [1]    FARG_LCD_Out_row
0x0012       [1]    Keypad_Key_Click_rslt_L0
0x0012       [2]    FARG_IntToStr_input
0x0013       [1]    FARG_LCD_Out_column
0x0014       [1]    FARG_IntToStr_output
0x0014       [1]    FARG_LCD_Out_text
0x0015       [2]    IntToStr_i_L0
0x0015       [1]    LCD_Out_i_L0
0x0017       [2]    IntToStr_negative_L0
0x0019       [2]    IntToStr_inword_L0
0x001B       [1]    Keypad_Key_Press_rslt_L0
0x001B       [1]    FARG_Lcd_Chr_CP_out_char
0x001B       [2]    FARG_WordToStr_input
0x001C       [1]    Keypad_Key_Press_kdata_L0
0x001D       [1]    Keypad_Key_Press_loc_L0
0x001D       [1]    FARG_WordToStr_output
0x001E       [1]    WordToStr_len_L0
0x001E       [1]    Keypad_Key_Press_rowcnt_L0
0x001F       [1]    Keypad_Key_Press_shifter_L0
0x001F       [1]    FLOC__WordToStr
0x0020       [1]    FARG_Lcd_Cmd_out_char
0x0030       [2]    _res
0x0032       [2]    _num
0x0034      [16]    ?lstr1_calculadora
0x0080       [1]    keypadPort
0x0080       [1]    P0
0x0081       [1]    SP
0x0082       [1]    DPL
0x0083       [1]    DPH
0x00A0       [0]    LCD_RS
0x00A0       [0]    P2_5_bit
0x00A0       [0]    LCD_EN
0x00A0       [0]    LCD_D6
0x00A0       [0]    LCD_D7
0x00A0       [0]    LCD_D4
0x00A0       [0]    LCD_D5
0x00A0       [0]    P2_0_bit
0x00A0       [0]    P2_1_bit
0x00A0       [0]    P2_4_bit
0x00A0       [0]    P2_3_bit
0x00A0       [0]    P2_2_bit
0x00D0       [0]    OV_bit
0x00D0       [0]    F0_bit
0x00D0       [1]    PSW
0x00E0       [1]    ACC
0x00F0       [1]    B
//** Constants locations ** 
//ADDRESS    SIZE    CONSTANT
//----------------------------------------------
0x0633       [2]    ?ICS_res
0x0635       [2]    ?ICS_num
0x0637      [16]    ?ICS?lstr1_calculadora
//** Label List: ** 
//----------------------------------------------
  L_main0
  L_main1
  L_main2
  L_main3
  L_main4
  L_main5
  L_main6
  L_main7
  L_main8
  L_main9
  L_main10
  L_main11
  L_main12
  L_main13
  L_main14
  L_main15
  L_main16
  L_main17
  L_main18
  L_main19
  L_main20
  L_main21
  L_main22
  L_main23
  L_main24
  L_main25
  L_main26
  L_main27
  L_main28
  L_main29
  L_main30
  L_main31
  L_main32
  L_main33
  L_main34
  L__main35
  _main
  L_ByteToStr0
  L_ByteToStr1
  L_ByteToStr2
  L_ByteToStr3
  L_ByteToStr4
  L_ByteToStr5
  L_WordToStr6
  L_WordToStr7
  L_WordToStr8
  L_WordToStr9
  L_WordToStr10
  L_WordToStr11
  L_WordToStrWithZeros12
  L_WordToStrWithZeros13
  L_WordToStrWithZeros14
  L_WordToStrWithZeros15
  L_WordToStrWithZeros16
  L_ShortToStr17
  L_ShortToStr18
  L_ShortToStr19
  L_ShortToStr20
  L_ShortToStr21
  L_ShortToStr22
  L_IntToStr23
  L_IntToStr24
  L_IntToStr25
  L_IntToStr26
  L_IntToStr27
  L_IntToStr28
  L_IntToStrWithZeros29
  L_IntToStrWithZeros30
  L_IntToStrWithZeros31
  L_IntToStrWithZeros32
  L_IntToStrWithZeros33
  L_IntToStrWithZeros34
  L_IntToStrWithZeros35
  L_IntToStrWithZeros36
  L_IntToStrWithZeros37
  L_LongWordToStr38
  L_LongWordToStr39
  L_LongWordToStr40
  L_LongWordToStr41
  L_LongWordToStr42
  L_LongWordToStr43
  L_LongWordToStrWithZeros44
  L_LongWordToStrWithZeros45
  L_LongWordToStrWithZeros46
  L_LongWordToStrWithZeros47
  L_LongWordToStrWithZeros48
  L_LongToStr49
  L_LongToStr50
  L_LongToStr51
  L_LongToStr52
  L_LongToStr53
  L_LongToStr54
  L_LongIntToStrWithZeros55
  L_LongIntToStrWithZeros56
  L_LongIntToStrWithZeros57
  L_LongIntToStrWithZeros58
  L_LongIntToStrWithZeros59
  L_LongIntToStrWithZeros60
  L_LongIntToStrWithZeros61
  L_LongIntToStrWithZeros62
  L_LongIntToStrWithZeros63
  L_Dec2Bcd64
  L_Dec2Bcd65
  L_Rtrim66
  L_Rtrim67
  L_Rtrim68
  L_Rtrim69
  L_Ltrim70
  L_Ltrim71
  L_Ltrim72
  L_Ltrim73
  L_Ltrim74
  L_Ltrim75
  L_FloatToStr76
  L_FloatToStr77
  L_FloatToStr78
  L_FloatToStr79
  L_FloatToStr80
  L_FloatToStr81
  L_FloatToStr82
  L_FloatToStr83
  L_FloatToStr84
  L_FloatToStr85
  L_FloatToStr86
  L_FloatToStr87
  L_FloatToStr88
  L_FloatToStr89
  L_FloatToStr90
  L_FloatToStr91
  L_FloatToStr92
  L_FloatToStr93
  L_FloatToStr94
  L_FloatToStr95
  L_FloatToStr96
  L_FloatToStr97
  L__Rtrim98
  L__Ltrim99
  L__FloatToStr100
  _ByteToHex
  L__ByteToHex101
  L__ByteToHex102
  _ShortToHex
  L__ShortToHex103
  L__ShortToHex104
  _WordToHex
  L__WordToHex105
  L__WordToHex106
  L__WordToHex107
  L__WordToHex108
  _IntToHex
  L__IntToHex109
  L__IntToHex110
  L__IntToHex111
  L__IntToHex112
  _LongWordToHex
  L__LongWordToHex113
  L__LongWordToHex114
  L__LongWordToHex115
  L__LongWordToHex116
  L__LongWordToHex117
  L__LongWordToHex118
  L__LongWordToHex119
  L__LongWordToHex120
  _LongIntToHex
  L__LongIntToHex121
  L__LongIntToHex122
  L__LongIntToHex123
  L__LongIntToHex124
  L__LongIntToHex125
  L__LongIntToHex126
  L__LongIntToHex127
  L__LongIntToHex128
  _ByteToStr
  _WordToStr
  _WordToStrWithZeros
  _ShortToStr
  _IntToStr
  _IntToStrWithZeros
  _LongWordToStr
  _LongWordToStrWithZeros
  _LongToStr
  _LongIntToStrWithZeros
  _Dec2Bcd
  L__Dec2Bcd129
  L__Dec2Bcd130
  _Bcd2Dec
  L__Bcd2Dec131
  L__Bcd2Dec132
  _Bcd2Dec16
  L__Bcd2Dec16133
  L__Bcd2Dec16134
  L__Bcd2Dec16135
  L__Bcd2Dec16136
  _Dec2Bcd16
  L__Dec2Bcd16137
  L__Dec2Bcd16138
  L__Dec2Bcd16139
  L__Dec2Bcd16140
  _Rtrim
  _Ltrim
  _FloatToStr
  L__FloatToStr141
  L__FloatToStr142
  L__FloatToStr143
  L__FloatToStr144
  L__FloatToStr145
  L__FloatToStr146
  L_Delay_Cyc0
  L_Delay_Cyc1
  L_VDelay_ms2
  L_VDelay_ms3
  L_VDelay_ms4
  L_VDelay_ms5
  _Get_Fosc_kHz
  _Delay_1us
  _Delay_10us
  _Delay_22us
  _Delay_50us
  _Delay_80us
  _Delay_500us
  _Delay_5500us
  _Delay_8ms
  _Delay_10ms
  _Delay_100ms
  _Delay_1sec
  _Delay_Cyc
  _VDelay_ms
  L_Keypad_Key_Press0
  L_Keypad_Key_Press1
  L_Keypad_Key_Press2
  L_Keypad_Key_Press3
  L_Keypad_Key_Press4
  L_Keypad_Key_Click5
  L_Keypad_Key_Click6
  _Keypad_Init
  _Keypad_Key_Press
  L__Keypad_Key_Press7
  L__Keypad_Key_Press8
  L__Keypad_Key_Press9
  L__Keypad_Key_Press10
  _Keypad_Key_Click
  L_Lcd_Cmd0
  L_Lcd_Cmd1
  L_Lcd_Cmd2
  L_Lcd_Cmd3
  L_Lcd_Cmd4
  L_Lcd_Cmd5
  L_LCD_Out_CP6
  L_LCD_Out_CP7
  L_Lcd_Chr8
  L_Lcd_Chr9
  L_Lcd_Chr10
  L_Lcd_Chr11
  L_Lcd_Chr12
  L_Lcd_Chr13
  L_Lcd_Chr14
  L_LCD_Out15
  L_LCD_Out16
  L_LCD_Out17
  L_LCD_Out18
  L_LCD_Out19
  L_LCD_Out20
  L_LCD_Out21
  L_LCD_Out22
  L_LCD_Out23
  _Lcd_Cmd
  L__Lcd_Cmd24
  L__Lcd_Cmd25
  L__Lcd_Cmd26
  L__Lcd_Cmd27
  L__Lcd_Cmd28
  L__Lcd_Cmd29
  L__Lcd_Cmd30
  L__Lcd_Cmd31
  L__Lcd_Cmd32
  L__Lcd_Cmd33
  L__Lcd_Cmd34
  L__Lcd_Cmd35
  L__Lcd_Cmd36
  L__Lcd_Cmd37
  L__Lcd_Cmd38
  L__Lcd_Cmd39
  _Lcd_Chr_CP
  _LCD_Out_CP
  _Lcd_Chr
  _Lcd_Init
  _LCD_Out
  lab_end
  loop_lab
  lab_end1
  lab_loop1
  lab_end2
  lab_loop3
  __Div_8x8_S_Bpositive
  __Div_8x8_S_Apositive
  __Div_8x8_S_Skip_Div
  __Div_8x8_S_div_ret
  __op2hi_not_zero
  __op1hi_not_zero
  __Div_16x16_U_Loop1
  __Div_16x16_U_Lab1
  __Div_16x16_U_div_ret
  __Div_16x16_U_Loop2
  __Div_16x16_U_Lab2
  __Div_16x16_U_Lab3
  __Div_16x16_S_op2hipositive
  __Div_16x16_S_op1hipositive
  __Div_16x16_S_Skip_Udiv
  __Div_16x16_S_div_ret
  __Div_32x32_U_start
  __Div_32x32_U_aux
  __Div_32x32_U_l2
  __Div_32x32_U_l1
  lw_1
  lw_2
  __Div_32x32_U_l3
  lw_3
  __Div_32x32_U_l4
  __Div_32x32_U_IR_l0
  __Div_32x32_U_l5
  __Div_32x32_U_l6
  __Div_32x32_U_l8
  __Div_32x32_U_l7
  __Div_32x32_U_IR_l1
  __Div_32x32_U_l10
  __Div_32x32_U_l9
  __Div_32x32_U_IR_l2
  __Div_32x32_S_l1
  __Div_32x32_S_call_uns
  __Div_32x32_S_l2
  __Div_32x32_S_l3
  __Div_32x32_S_div_ret
  __shl_long
  __shr_longint
  __shr_longword
  _Mul_16x16
  _Mul_32x32
  _Div_8x8_S
  _Div_16x16_U
  _Div_16x16_S
  _Div_32x32_U
  _Div_32x32_S
  _CC2D_Loop1
  _CC2PD_Loop1
  _CC2XD_Loop1
  ___DoIFC
  ___CC2D
  ___CC2PD
  ___CC2XD
